Segment,Total_Sellers,Churned,Never_Activated,Active,Avg_GMV,Total_GMV,Churn_Rate_%,Market_Share_%
other,3,3,3,0,0.0,0.0,100.0,0.4
offline,104,98,80,9,186.57250000000002,19403.54,94.2,12.4
online_beginner,57,53,38,4,391.27228070175437,22302.52,93.0,6.8
online_small,77,69,51,8,681.4971428571429,52475.28,89.6,9.1
industry,123,109,85,16,237.22268292682926,29178.39,88.6,14.6
Unknown,6,5,3,1,7513.150000000001,45078.9,83.3,0.7
online_medium,332,276,192,63,621.9932831325301,206501.77,83.1,39.4
online_big,126,93,55,35,2308.499603174603,290870.95,73.8,15.0
online_top,14,10,8,4,585.2885714285715,8194.04,71.4,1.7
